acgme_program_id,classification,fields,rise_program_name,acgme_program_name,rise_location,acgme_location
3005111366,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,Virginia Commonwealth University Health System Program,Virginia VC Commonwealth University Health Pa System Program 11 Ri Ph pa,"Richmond, VA","chmond, VA"
3200300372,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,TMC Health Medical Education Program Inc (THMEP) Program,"TMC Health Medical T Education Program, Inc. (THMEP) ( Program 5 T P T","Tucson, AZ","ucson, AZ"
3200321021,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Arizona College of Medicine-Tucson Program,University of Arizona College of Medicine- Tucson Program,"Tucson, AZ","Tucson, AZ"
3200421022,STALE_IDENTITY_REVIEW_REQUIRED,city,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,University of Arkansas for Medical Sciences (UAMS) College of Medicine Program,"Littlle Rock, AR","Little Rock, AR"
3200521032,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,UCLA David Geffen School of Medicine/UCLA Medical Center Program,UCLA David Geffen UC School of Medicine/UCLA Medical D Center Program 7 L P p,"Los Angeles, CA","os Angeles, CA"
3200531034,STALE_IDENTITY_REVIEW_REQUIRED,program_name,UCSF Benioff Children's Hospital Oakland Program,UCSF Benioff Children’s Hospital Oakland Program,"Oakland, CA","Oakland, CA"
3201100432,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Memorial Healthcare System (Hollywood Florida) Program,"Memorial Healthcare System (Hollywood, Florida) Program","Hollywood, FL","Hollywood, FL"
3201100433,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,Nemours Children's Hospital Program,Nemours Children's N Hospital Program G 6 O P c,"Orlando, FL","rlando, FL"
3201421007,STALE_IDENTITY_REVIEW_REQUIRED,city,Tripler Army Medical Center Program,Tripler Army Medical Center Program,"Honolulu, HI","Tripler AMC, HI"
3201611065,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,Cook County Health and Hospitals System Program,Cook County Health J and Hospitals System Program D 1 C P r,"Chicago, IL","hicago, IL"
3201611074,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Illinois College of Medicine at Chicago Program,University of Illino College of Medicine at Chicago Program,"Chicago, IL","Chicago, IL"
3201621078,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Illinois College of Medicine at Peoria Program,University of Illino College of Medicine at Peoria Program,"Peoria, IL","Peoria, IL"
3201621382,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Advocate Health Care/Advocate Children's Hospital (Oak Lawn) Program,Advocate Health Care/Advocate Children’s Hospital (Oak Lawn) Program,"Oak Lawn, IL","Oak Lawn, IL"
3201712420,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Ascension St Vincent Hospital Indianapolis Program,Ascension St. Vincent Hospital Program,"Indianapolis, IN","Indianapolis, IN"
3201831082,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Central Iowa Health System (Iowa Methodist Medical Center) Program,Central Iowa Health System (Iowa Methodist Medical Ch Center) Program,"Des Moines, IA","Des Moines, IA"
3202146422,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Our Lady of the Lake Program,Our Lady of The Lake Program,"Baton Rouge, LA","Baton Rouge, LA"
3202412106,STALE_IDENTITY_REVIEW_REQUIRED,program_name,UMass Chan-Baystate Program,UMass Chan - Baystate Program,"Springfield, MA","Springfield, MA"
3202421403,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Boston Children's Hospital/Boston Medical Center Program,Boston Children’s Hospital/Boston Medical Center Program,"Boston, MA","Boston, MA"
3202511113,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Henry Ford St John Hospital Program,Henry Ford St. John Hospital Program,"Detroit, MI","Detroit, MI"
3202811124,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Children's Mercy Hospital Program,Children’s Mercy Hospital Program,"Kansas City, MO","Kansas City, MO"
