acgme_program_id,program_specialty_id,program_name,specialty,state,research_state,priority_domains,paid_research_launched
4000100008,rise_ps_9a7d67c0-b03c-5091-a23a-46f07ee51420,"Wellstone, Inc. Program",Psychiatry,AL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4000500011,rise_ps_23be5424-4d44-50dc-8f19-eb277f831ec3,Sutter Health (Sacramento) Program,Psychiatry,CA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4001100013,rise_ps_e772559e-122d-5fac-aa27-e5c37600ceb8,University of South Florida Morsani College of Medicine/TGH Behavioral Health Hospital Program,Psychiatry,FL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4001700003,rise_ps_209dfb3e-8178-53b9-825e-c84abc699d30,Indiana University School of Medicine (Evansville) Program,Psychiatry,IN,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4003500013,rise_ps_5d1d3b74-ab8b-5735-9b2f-08f90d71fce9,St Joseph's Health Program,Psychiatry,NY,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4003600004,rise_ps_6b8d8f47-ac8d-519e-ad32-d2ed1c138c6f,Wake Forest University Baptist Medical Center/High Point Medical Center Program,Psychiatry,NC,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4005100001,rise_ps_1915a048-8267-5e96-9b12-d97b6166a97a,Mary Washington Healthcare Program,Psychiatry,VA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4005600001,rise_ps_abbca96a-5683-51a0-b957-4065781daf14,"Medical College of Wisconsin Affiliated Hospitals, Inc Program",Psychiatry,WI,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4005600002,rise_ps_4990fa31-e90a-5cfc-b24d-5f607c9e0204,Gundersen Lutheran Medical Foundation Program,Psychiatry,WI,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4152442001,rise_ps_c15b0e94-3d0d-51cc-907c-3a67bfe3c0dc,Mass General Brigham Program,Interventional Radiology-Independent,MA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4160500005,rise_ps_78f8b531-d697-5661-9fe5-d9802bf797a8,Los Angeles County-Harbor-UCLA Bhavra Medical Center Program,Interventional Radiology-Integrated,CA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4161100005,rise_ps_afdeecb5-ff39-5a7e-af4e-e5a371b0382f,Florida International University/Baptist Health Program,Interventional Radiology-Integrated,FL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4161600001,rise_ps_3bc77906-8132-5cc9-9736-b60470e754ec,Loyola University Medical Center Program,Interventional Radiology-Integrated,IL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4162400005,rise_ps_38b8285d-f204-5279-b512-6ad469dddae6,Mass General Brigham Program,Interventional Radiology-Integrated,MA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4163300004,rise_ps_21a524ea-bfa8-571a-b069-3adab26e9c6c,Cooper Medical School of Rowan University/Cooper University Hospital Program,Interventional Radiology-Integrated,NJ,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
4164800002,rise_ps_f2ddf0d9-413a-5ee5-b2e5-fc5eb8199901,Baylor Scott & White Medical Center - Baylor College of Medicine (Temple) Program,Interventional Radiology-Integrated,TX,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
