acgme_program_id,canonical_rise_program_id,program_specialty_id,program_name,specialty,city,state,accreditation_status,effective_date,academic_year,newly_accredited
1805100001,rise_prg_e883fbbb-0b7e-5161-8605-7d693d819725,rise_ps_a7c3aca7-b3a5-540d-a8fe-b983c0474a46,Mary Washington Healthcare Program,Neurology,Fredericksburg,VA,Initial Accreditation,04/02/2026,2025-2026,true
1853000001,rise_prg_d3b9df4d-6b7c-55cb-8a28-c4984860ce5c,rise_ps_137b0d33-1046-5de4-9fca-348282f20e17,University of Nebraska Medical Center College of Medicine Program,Child Neurology,maha,NE,Initial Accreditation,01/29/2026,2025-2026,true
2000300002,rise_prg_299326dc-f5bc-54dc-8378-78c27919376e,rise_ps_be4453a4-97cf-54af-ad03-b4d967af565f,University of Arizona College of Medicine-Tucson Program,Nuclear Medicine,Tucson,AZ,Initial Accreditation,04/16/2026,2025-2026,true
2200500005,rise_prg_bf1cb969-f958-5a89-a73a-bdfbeee37704,rise_ps_e4bbe238-b955-552f-a311-052247706007,Riverside University Health System As Program,Obstetrics and Gynecology,Moreno Valley,CA,Initial Accreditation,01/28/2026,2025-2026,true
2201100005,rise_prg_1f392846-fbca-5dc9-a01c-c222c6337f4e,rise_ps_63bd6df8-1f1a-555a-a523-b72b7d50d089,BayCare Health System Program,Obstetrics and Gynecology,Tampa,FL,Initial Accreditation,01/28/2026,2025-2026,true
2201100008,rise_prg_da9d121c-410c-5be5-9564-90e3d1252c26,rise_ps_2a9d1bcb-8187-5c61-bf10-66df3b63e519,Broward Health Program,Obstetrics and Gynecology,Fort Lauderdale,FL,Initial Accreditation,01/28/2026,2025-2026,true
2201200001,rise_prg_ead3c29c-01aa-501b-9892-3079341eedb9,rise_ps_fe8c7add-8bae-58ac-8cc9-7b0046e40ae5,Tift Regional Health System Program,Obstetrics and Gynecology,Tifton,GA,Initial Accreditation,01/28/2026,2025-2026,true
2401177001,rise_prg_f5309f27-0c91-5203-9e0b-37d5ae525c86,rise_ps_0267507d-027c-5442-8130-d8366460ecc7,Mayo Clinic College of Medicine and Science (Jacksonville) Program,Ophthalmology,Jacksonville,FL,Initial Accreditation,04/14/2026,2025-2026,true
2404877001,rise_prg_5705aee0-8db1-52b6-98f6-d49d228aca31,rise_ps_6103bba8-c366-5ea1-8b46-3ba6e577d81a,Texas Institute for Graduate Medical Education and Research (TIGMER) Program,Ophthalmology,San Antonio,TX,Initial Accreditation,04/14/2026,2025-2026,true
2603300004,rise_prg_18a468c0-25bc-5ee0-b1d3-c4b0405dba57,rise_ps_b52fa939-8a01-5b8a-ad38-64fb697339ff,New York Medical College Program Vinc MD,Orthopaedic Surgery,Bayonne,NJ,Initial Accreditation,07/01/2026,2026-2027,true
2604100001,rise_prg_1bc4eaac-dd97-5746-acc4-56a7ba3d2225,rise_ps_66885d08-26a3-5438-81d3-b16db4763f2a,Lehigh Valley Health Network Program,Orthopaedic Surgery,Allentown,PA,Initial Accreditation,07/01/2026,2026-2027,true
2754800004,rise_prg_948e1b6a-e88d-54a0-a6ec-37c36745c33a,rise_ps_594e685b-abbe-524c-8fe8-4d060c427b71,Sam Houston Regional Education Consortium Program,Osteopathic Neuromusculoskeletal Medicine,Conroe,TX,Initial Accreditation,04/10/2026,2025-2026,true
3000300001,rise_prg_86bf2d49-c168-541d-b6f6-ac68a79c5167,rise_ps_a458f9e7-a277-5e14-b1c2-be3075127979,Mayo Clinic College of Medicine and Science (Phoenix) Program,Pathology-Anatomic and Clinical,Phoenix,AZ,Initial Accreditation,01/28/2026,2025-2026,true
3000800001,rise_prg_6b51bf3b-5da1-5312-8ed1-8c835a10b5a9,rise_ps_253b248c-611f-5d10-a285-64decea5eed1,University of Connecticut School of Medicine Program,Pathology-Anatomic and Clinical,Farmington,CT,Initial Accreditation,01/28/2026,2025-2026,true
3204700001,rise_prg_256d360c-f639-544a-b6d4-6c5df87be517,rise_ps_118536c4-b678-5e6e-9775-16667f3d7d86,University of Tennessee Graduate School of Medicine Program,Pediatrics,Knoxville,TN,Initial Accreditation,07/01/2026,2026-2027,true
3400300002,rise_prg_af0f1124-6b47-5288-923b-ff3ee33edc58,rise_ps_767e9a93-2517-5a31-ba1b-b482eeb3efbc,Mayo Clinic College of Medicine and Science (Phoenix) Program,Physical Medicine and Rehabilitation,Phoenix,AZ,Initial Accreditation,07/01/2026,2026-2027,true
3402700001,rise_prg_a8dd29e0-16b2-5ed2-a9f0-3b99e811704d,rise_ps_f44e6368-acae-54e9-b1ee-76829f01ac19,University of Mississippi School of J Medicine Program H,Physical Medicine and Rehabilitation,Jackson,MS,Initial Accreditation,07/01/2026,2026-2027,true
